07:33:37.036438 | Lua script loaded successfully with SHA: edd62c3065bc6d8e69c6a661910be99a4d0f8173
07:33:37.036953 | Redis client created
07:48:39.746041 | Sending requests to /lua
07:48:39.748851 | user: lua_3      | success: true  | req made in window: 1     | time before next req: 0  
07:48:39.748851 | user: lua_4      | success: true  | req made in window: 1     | time before next req: 0  
07:48:39.752557 | user: lua_2      | success: true  | req made in window: 1     | time before next req: 0  
07:48:39.752557 | user: lua_1      | success: true  | req made in window: 2     | time before next req: 0  
07:48:39.752557 | user: lua_1      | success: true  | req made in window: 1     | time before next req: 0  
07:48:39.755376 | user: lua_2      | success: true  | req made in window: 2     | time before next req: 0  
07:48:39.783001 | user: lua_1      | success: true  | req made in window: 2     | time before next req: 0  
07:48:39.783977 | user: lua_5      | success: true  | req made in window: 1     | time before next req: 0  
07:48:39.783977 | user: lua_2      | success: true  | req made in window: 3     | time before next req: 0  
07:48:39.783977 | user: lua_4      | success: true  | req made in window: 2     | time before next req: 0  
07:48:39.783977 | user: lua_1      | success: true  | req made in window: 3     | time before next req: 0  
07:48:39.783977 | user: lua_1      | success: true  | req made in window: 4     | time before next req: 0  
07:48:39.783977 | user: lua_3      | success: true  | req made in window: 2     | time before next req: 0  
07:48:39.783977 | user: lua_1      | success: true  | req made in window: 4     | time before next req: 0  
07:48:39.783977 | user: lua_2      | success: true  | req made in window: 4     | time before next req: 0  
07:48:39.783977 | user: lua_5      | success: true  | req made in window: 2     | time before next req: 0  
07:48:39.783977 | user: lua_1      | success: true  | req made in window: 5     | time before next req: 0  
07:48:39.783977 | user: lua_5      | success: true  | req made in window: 3     | time before next req: 0  
07:48:39.783977 | user: lua_1      | success: true  | req made in window: 6     | time before next req: 0  
07:48:39.783977 | user: lua_3      | success: true  | req made in window: 3     | time before next req: 0  
07:48:39.783977 | user: lua_2      | success: true  | req made in window: 5     | time before next req: 0  
07:48:40.774091 | user: lua_4      | success: true  | req made in window: 3     | time before next req: 0  
07:48:40.774091 | user: lua_1      | success: true  | req made in window: 6     | time before next req: 0  
07:48:40.776032 | user: lua_4      | success: true  | req made in window: 4     | time before next req: 0  
07:48:40.776032 | user: lua_3      | success: true  | req made in window: 4     | time before next req: 0  
07:48:40.778173 | user: lua_4      | success: true  | req made in window: 5     | time before next req: 0  
07:48:40.779380 | user: lua_1      | success: true  | req made in window: 7     | time before next req: 0  
07:48:40.779380 | user: lua_2      | success: true  | req made in window: 6     | time before next req: 0  
07:48:40.781071 | user: lua_5      | success: true  | req made in window: 4     | time before next req: 0  
07:48:40.783112 | user: lua_2      | success: true  | req made in window: 7     | time before next req: 0  
07:48:40.783112 | user: lua_4      | success: true  | req made in window: 6     | time before next req: 0  
07:48:40.783112 | user: lua_4      | success: true  | req made in window: 7     | time before next req: 0  
07:48:40.784944 | user: lua_2      | success: true  | req made in window: 9     | time before next req: 0  
07:48:40.784944 | user: lua_2      | success: true  | req made in window: 8     | time before next req: 0  
07:48:40.784944 | user: lua_1      | success: true  | req made in window: 8     | time before next req: 0  
07:48:40.784944 | user: lua_2      | success: true  | req made in window: 9     | time before next req: 0  
07:48:40.784944 | user: lua_5      | success: true  | req made in window: 5     | time before next req: 0  
07:48:40.784944 | user: lua_4      | success: true  | req made in window: 7     | time before next req: 0  
07:48:40.787193 | user: lua_2      | success: true  | req made in window: 9     | time before next req: 0  
07:48:40.787193 | user: lua_2      | success: true  | req made in window: 9     | time before next req: 0  
07:48:40.787193 | user: lua_2      | success: true  | req made in window: 10    | time before next req: 0  
07:48:40.788877 | user: lua_1      | success: true  | req made in window: 9     | time before next req: 0  
07:48:40.788877 | user: lua_2      | success: true  | req made in window: 10    | time before next req: 0  
07:48:40.789930 | user: lua_1      | success: true  | req made in window: 10    | time before next req: 0  
07:48:41.801768 | user: lua_2      | success: true  | req made in window: 11    | time before next req: 0  
07:48:41.801768 | user: lua_2      | success: true  | req made in window: 12    | time before next req: 0  
07:48:41.808738 | user: lua_1      | success: true  | req made in window: 11    | time before next req: 0  
07:48:41.808738 | user: lua_2      | success: true  | req made in window: 12    | time before next req: 0  
07:48:41.813758 | user: lua_2      | success: true  | req made in window: 13    | time before next req: 0  
07:48:41.813758 | user: lua_3      | success: true  | req made in window: 5     | time before next req: 0  
07:48:41.815610 | user: lua_4      | success: true  | req made in window: 8     | time before next req: 0  
07:48:41.816617 | user: lua_5      | success: true  | req made in window: 6     | time before next req: 0  
07:48:41.816617 | user: lua_1      | success: true  | req made in window: 12    | time before next req: 0  
07:48:41.819225 | user: lua_3      | success: true  | req made in window: 6     | time before next req: 0  
07:48:41.819225 | user: lua_2      | success: true  | req made in window: 13    | time before next req: 0  
07:48:41.825470 | user: lua_5      | success: true  | req made in window: 7     | time before next req: 0  
07:48:41.826856 | user: lua_5      | success: true  | req made in window: 8     | time before next req: 0  
07:48:41.827925 | user: lua_4      | success: true  | req made in window: 9     | time before next req: 0  
07:48:41.828430 | user: lua_1      | success: true  | req made in window: 13    | time before next req: 0  
07:48:41.828430 | user: lua_2      | success: true  | req made in window: 14    | time before next req: 0  
07:48:41.836142 | user: lua_2      | success: true  | req made in window: 15    | time before next req: 0  
07:48:41.836142 | user: lua_2      | success: false | req made in window: 15    | time before next req: 7  
07:48:41.838515 | user: lua_2      | success: false | req made in window: 15    | time before next req: 7  
07:48:41.839020 | user: lua_2      | success: false | req made in window: 15    | time before next req: 7  
07:48:41.840691 | user: lua_2      | success: false | req made in window: 15    | time before next req: 7  
07:48:41.840691 | user: lua_5      | success: true  | req made in window: 9     | time before next req: 0  
07:48:41.841196 | user: lua_5      | success: true  | req made in window: 10    | time before next req: 0  
07:48:41.842351 | user: lua_5      | success: true  | req made in window: 10    | time before next req: 0  
07:48:41.843097 | user: lua_2      | success: false | req made in window: 15    | time before next req: 7  
07:48:41.843178 | user: lua_4      | success: true  | req made in window: 10    | time before next req: 0  
07:48:42.868570 | user: lua_4      | success: true  | req made in window: 11    | time before next req: 0  
07:48:42.868570 | user: lua_5      | success: true  | req made in window: 11    | time before next req: 0  
07:48:42.869617 | user: lua_3      | success: true  | req made in window: 7     | time before next req: 0  
07:48:42.871012 | user: lua_4      | success: true  | req made in window: 12    | time before next req: 0  
07:48:42.871012 | user: lua_1      | success: true  | req made in window: 14    | time before next req: 0  
07:48:42.872380 | user: lua_5      | success: true  | req made in window: 12    | time before next req: 0  
07:48:42.872380 | user: lua_1      | success: true  | req made in window: 15    | time before next req: 0  
07:48:42.872989 | user: lua_1      | success: false | req made in window: 15    | time before next req: 6  
07:48:42.875474 | user: lua_4      | success: true  | req made in window: 13    | time before next req: 0  
07:48:42.878802 | user: lua_2      | success: false | req made in window: 15    | time before next req: 6  
07:48:42.878802 | user: lua_1      | success: false | req made in window: 15    | time before next req: 6  
07:48:42.883021 | user: lua_2      | success: false | req made in window: 15    | time before next req: 6  
07:48:42.883021 | user: lua_4      | success: true  | req made in window: 14    | time before next req: 0  
07:48:42.887790 | user: lua_5      | success: true  | req made in window: 13    | time before next req: 0  
07:48:42.887790 | user: lua_2      | success: false | req made in window: 15    | time before next req: 6  
07:48:42.888295 | user: lua_1      | success: false | req made in window: 15    | time before next req: 6  
07:48:42.893386 | user: lua_4      | success: true  | req made in window: 15    | time before next req: 0  
07:48:42.898300 | user: lua_4      | success: false | req made in window: 15    | time before next req: 6  
07:48:42.898912 | user: lua_4      | success: false | req made in window: 15    | time before next req: 6  
07:48:42.899609 | user: lua_5      | success: true  | req made in window: 14    | time before next req: 0  
07:48:42.900164 | user: lua_5      | success: true  | req made in window: 15    | time before next req: 0  
07:48:42.900164 | user: lua_3      | success: true  | req made in window: 8     | time before next req: 0  
07:48:42.900776 | user: lua_5      | success: true  | req made in window: 14    | time before next req: 0  
07:48:42.901796 | user: lua_5      | success: false | req made in window: 16    | time before next req: 6  
07:48:42.901796 | user: lua_1      | success: false | req made in window: 15    | time before next req: 6  
07:48:42.901796 | user: lua_5      | success: false | req made in window: 16    | time before next req: 6  
07:48:42.902552 | user: lua_2      | success: false | req made in window: 15    | time before next req: 6  
07:48:42.903057 | user: lua_2      | success: false | req made in window: 15    | time before next req: 6  
07:48:43.945697 | user: lua_2      | success: false | req made in window: 15    | time before next req: 5  
07:48:43.947524 | user: lua_2      | success: false | req made in window: 15    | time before next req: 5  
07:48:43.948834 | user: lua_3      | success: true  | req made in window: 9     | time before next req: 0  
07:48:43.948834 | user: lua_4      | success: false | req made in window: 15    | time before next req: 5  
07:48:43.950755 | user: lua_5      | success: false | req made in window: 16    | time before next req: 5  
07:48:43.950755 | user: lua_4      | success: false | req made in window: 15    | time before next req: 5  
07:48:43.951261 | user: lua_5      | success: false | req made in window: 16    | time before next req: 5  
07:48:43.951774 | user: lua_3      | success: true  | req made in window: 10    | time before next req: 0  
07:48:43.952668 | user: lua_1      | success: false | req made in window: 15    | time before next req: 5  
07:48:43.953174 | user: lua_3      | success: true  | req made in window: 11    | time before next req: 0  
07:48:43.957267 | user: lua_4      | success: false | req made in window: 15    | time before next req: 5  
07:48:43.957668 | user: lua_4      | success: false | req made in window: 15    | time before next req: 5  
07:48:43.958175 | user: lua_4      | success: false | req made in window: 15    | time before next req: 5  
07:48:43.960164 | user: lua_5      | success: false | req made in window: 16    | time before next req: 5  
07:48:43.964019 | user: lua_3      | success: true  | req made in window: 11    | time before next req: 0  
07:48:43.964019 | user: lua_3      | success: true  | req made in window: 12    | time before next req: 0  
07:48:43.964606 | user: lua_4      | success: false | req made in window: 15    | time before next req: 5  
07:48:43.966188 | user: lua_1      | success: false | req made in window: 15    | time before next req: 5  
07:48:43.966265 | user: lua_5      | success: false | req made in window: 16    | time before next req: 5  
07:48:43.966265 | user: lua_3      | success: true  | req made in window: 12    | time before next req: 0  
07:48:43.966768 | user: lua_2      | success: false | req made in window: 15    | time before next req: 5  
07:48:43.966768 | user: lua_5      | success: false | req made in window: 16    | time before next req: 5  
07:48:44.985524 | user: lua_3      | success: true  | req made in window: 13    | time before next req: 0  
07:48:44.985524 | user: lua_4      | success: false | req made in window: 15    | time before next req: 4  
07:48:44.985524 | user: lua_3      | success: true  | req made in window: 14    | time before next req: 0  
07:48:44.985524 | user: lua_1      | success: false | req made in window: 15    | time before next req: 4  
07:48:44.991204 | user: lua_3      | success: true  | req made in window: 15    | time before next req: 0  
07:48:44.991204 | user: lua_2      | success: false | req made in window: 15    | time before next req: 4  
07:48:44.991204 | user: lua_5      | success: false | req made in window: 16    | time before next req: 4  
07:48:44.992117 | user: lua_4      | success: false | req made in window: 15    | time before next req: 4  
07:48:44.992117 | user: lua_1      | success: false | req made in window: 15    | time before next req: 4  
07:48:44.995403 | user: lua_2      | success: false | req made in window: 15    | time before next req: 4  
07:48:44.995403 | user: lua_1      | success: false | req made in window: 15    | time before next req: 4  
07:48:44.996409 | user: lua_5      | success: false | req made in window: 16    | time before next req: 4  
07:48:44.998873 | user: lua_4      | success: false | req made in window: 15    | time before next req: 4  
07:48:44.998873 | user: lua_3      | success: false | req made in window: 15    | time before next req: 4  
07:48:44.998873 | user: lua_2      | success: false | req made in window: 15    | time before next req: 4  
07:48:44.999665 | user: lua_4      | success: false | req made in window: 15    | time before next req: 4  
07:48:45.000496 | user: lua_5      | success: false | req made in window: 16    | time before next req: 4  
07:48:45.000496 | user: lua_1      | success: false | req made in window: 15    | time before next req: 4  
07:48:45.001737 | user: lua_3      | success: false | req made in window: 15    | time before next req: 4  
07:48:45.001737 | user: lua_1      | success: false | req made in window: 15    | time before next req: 4  
07:48:45.002243 | user: lua_2      | success: false | req made in window: 15    | time before next req: 4  
07:48:45.002894 | user: lua_5      | success: false | req made in window: 16    | time before next req: 4  
07:48:46.018608 | user: lua_4      | success: false | req made in window: 15    | time before next req: 3  
07:48:46.020376 | user: lua_2      | success: false | req made in window: 15    | time before next req: 3  
07:48:46.026530 | user: lua_3      | success: false | req made in window: 15    | time before next req: 3  
07:48:46.026530 | user: lua_4      | success: false | req made in window: 15    | time before next req: 3  
07:48:46.032022 | user: lua_1      | success: false | req made in window: 15    | time before next req: 3  
07:48:46.032022 | user: lua_4      | success: false | req made in window: 15    | time before next req: 3  
07:48:46.034165 | user: lua_4      | success: false | req made in window: 15    | time before next req: 3  
07:48:46.034165 | user: lua_1      | success: false | req made in window: 15    | time before next req: 3  
07:48:46.034165 | user: lua_5      | success: false | req made in window: 16    | time before next req: 3  
07:48:46.035583 | user: lua_2      | success: false | req made in window: 15    | time before next req: 3  
07:48:46.038705 | user: lua_5      | success: false | req made in window: 16    | time before next req: 3  
07:48:46.039778 | user: lua_1      | success: false | req made in window: 15    | time before next req: 3  
07:48:46.040786 | user: lua_2      | success: false | req made in window: 15    | time before next req: 3  
07:48:46.040786 | user: lua_2      | success: false | req made in window: 15    | time before next req: 3  
07:48:46.042174 | user: lua_5      | success: false | req made in window: 16    | time before next req: 3  
07:48:46.044229 | user: lua_2      | success: false | req made in window: 15    | time before next req: 3  
07:48:46.044412 | user: lua_2      | success: false | req made in window: 15    | time before next req: 3  
07:48:46.045424 | user: lua_3      | success: false | req made in window: 15    | time before next req: 3  
07:48:46.045424 | user: lua_4      | success: false | req made in window: 15    | time before next req: 3  
07:48:46.045934 | user: lua_2      | success: false | req made in window: 15    | time before next req: 3  
07:48:46.048081 | user: lua_2      | success: false | req made in window: 15    | time before next req: 3  
07:48:47.058930 | user: lua_4      | success: false | req made in window: 15    | time before next req: 2  
07:48:47.058930 | user: lua_5      | success: false | req made in window: 16    | time before next req: 2  
07:48:47.073777 | user: lua_5      | success: false | req made in window: 16    | time before next req: 2  
07:48:47.073777 | user: lua_5      | success: false | req made in window: 16    | time before next req: 2  
07:48:47.091698 | user: lua_2      | success: false | req made in window: 15    | time before next req: 2  
07:48:47.091698 | user: lua_1      | success: false | req made in window: 15    | time before next req: 2  
07:48:47.105194 | user: lua_5      | success: false | req made in window: 16    | time before next req: 2  
07:48:47.123211 | user: lua_4      | success: false | req made in window: 15    | time before next req: 2  
07:48:47.126309 | user: lua_4      | success: false | req made in window: 15    | time before next req: 2  
07:48:47.129314 | user: lua_5      | success: false | req made in window: 16    | time before next req: 2  
07:48:47.129314 | user: lua_5      | success: false | req made in window: 16    | time before next req: 2  
07:48:47.131123 | user: lua_2      | success: false | req made in window: 15    | time before next req: 2  
07:48:47.131689 | user: lua_1      | success: false | req made in window: 15    | time before next req: 2  
