08:03:41.746528 | Sending requests to /luasha
08:03:41.748365 | user: luasha_5   | success: true  | req made in window: 1     | time before next req: 0  
08:03:41.771709 | user: luasha_2   | success: true  | req made in window: 1     | time before next req: 0  
08:03:41.772736 | user: luasha_2   | success: true  | req made in window: 2     | time before next req: 0  
08:03:41.774295 | user: luasha_1   | success: true  | req made in window: 1     | time before next req: 0  
08:03:41.774831 | user: luasha_2   | success: true  | req made in window: 3     | time before next req: 0  
08:03:41.776135 | user: luasha_1   | success: true  | req made in window: 2     | time before next req: 0  
08:03:41.777252 | user: luasha_4   | success: true  | req made in window: 1     | time before next req: 0  
08:03:41.799329 | user: luasha_1   | success: true  | req made in window: 3     | time before next req: 0  
08:03:41.799329 | user: luasha_4   | success: true  | req made in window: 2     | time before next req: 0  
08:03:41.799329 | user: luasha_3   | success: true  | req made in window: 1     | time before next req: 0  
08:03:41.799329 | user: luasha_1   | success: true  | req made in window: 4     | time before next req: 0  
08:03:41.799329 | user: luasha_1   | success: true  | req made in window: 5     | time before next req: 0  
08:03:41.799329 | user: luasha_4   | success: true  | req made in window: 3     | time before next req: 0  
08:03:41.799329 | user: luasha_4   | success: true  | req made in window: 4     | time before next req: 0  
08:03:41.799329 | user: luasha_3   | success: true  | req made in window: 2     | time before next req: 0  
08:03:41.801488 | user: luasha_3   | success: true  | req made in window: 3     | time before next req: 0  
08:03:41.801488 | user: luasha_2   | success: true  | req made in window: 4     | time before next req: 0  
08:03:41.801488 | user: luasha_3   | success: true  | req made in window: 3     | time before next req: 0  
08:03:41.801488 | user: luasha_2   | success: true  | req made in window: 5     | time before next req: 0  
08:03:41.801488 | user: luasha_1   | success: true  | req made in window: 6     | time before next req: 0  
08:03:41.801488 | user: luasha_5   | success: true  | req made in window: 2     | time before next req: 0  
08:03:41.801488 | user: luasha_5   | success: true  | req made in window: 3     | time before next req: 0  
08:03:41.801488 | user: luasha_1   | success: true  | req made in window: 7     | time before next req: 0  
08:03:41.801488 | user: luasha_2   | success: true  | req made in window: 6     | time before next req: 0  
08:03:42.805751 | user: luasha_3   | success: true  | req made in window: 4     | time before next req: 0  
08:03:42.805751 | user: luasha_1   | success: true  | req made in window: 8     | time before next req: 0  
08:03:42.806258 | user: luasha_3   | success: true  | req made in window: 5     | time before next req: 0  
08:03:42.806258 | user: luasha_1   | success: true  | req made in window: 9     | time before next req: 0  
08:03:42.808868 | user: luasha_3   | success: true  | req made in window: 6     | time before next req: 0  
08:03:42.808868 | user: luasha_1   | success: true  | req made in window: 10    | time before next req: 0  
08:03:42.808868 | user: luasha_4   | success: true  | req made in window: 4     | time before next req: 0  
08:03:42.810175 | user: luasha_3   | success: true  | req made in window: 7     | time before next req: 0  
08:03:42.811140 | user: luasha_4   | success: true  | req made in window: 5     | time before next req: 0  
08:03:42.811140 | user: luasha_1   | success: true  | req made in window: 11    | time before next req: 0  
08:03:42.811140 | user: luasha_3   | success: true  | req made in window: 8     | time before next req: 0  
08:03:42.811876 | user: luasha_5   | success: true  | req made in window: 3     | time before next req: 0  
08:03:42.811876 | user: luasha_4   | success: true  | req made in window: 6     | time before next req: 0  
08:03:42.813655 | user: luasha_5   | success: true  | req made in window: 4     | time before next req: 0  
08:03:42.813655 | user: luasha_3   | success: true  | req made in window: 9     | time before next req: 0  
08:03:42.813655 | user: luasha_4   | success: true  | req made in window: 7     | time before next req: 0  
08:03:42.814164 | user: luasha_1   | success: true  | req made in window: 12    | time before next req: 0  
08:03:42.814164 | user: luasha_2   | success: true  | req made in window: 7     | time before next req: 0  
08:03:42.814803 | user: luasha_3   | success: true  | req made in window: 10    | time before next req: 0  
08:03:42.815431 | user: luasha_1   | success: true  | req made in window: 13    | time before next req: 0  
08:03:42.815965 | user: luasha_3   | success: true  | req made in window: 11    | time before next req: 0  
08:03:42.816494 | user: luasha_2   | success: true  | req made in window: 8     | time before next req: 0  
08:03:42.817018 | user: luasha_5   | success: true  | req made in window: 5     | time before next req: 0  
08:03:43.824120 | user: luasha_1   | success: true  | req made in window: 14    | time before next req: 0  
08:03:43.825127 | user: luasha_2   | success: true  | req made in window: 9     | time before next req: 0  
08:03:43.829032 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 7  
08:03:43.829032 | user: luasha_4   | success: true  | req made in window: 8     | time before next req: 0  
08:03:43.829032 | user: luasha_1   | success: true  | req made in window: 15    | time before next req: 0  
08:03:43.829032 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 7  
08:03:43.829032 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 7  
08:03:43.830877 | user: luasha_1   | success: false | req made in window: 15    | time before next req: 7  
08:03:43.831951 | user: luasha_3   | success: true  | req made in window: 12    | time before next req: 0  
08:03:43.831951 | user: luasha_4   | success: true  | req made in window: 9     | time before next req: 0  
08:03:43.832031 | user: luasha_3   | success: true  | req made in window: 13    | time before next req: 0  
08:03:43.832031 | user: luasha_2   | success: true  | req made in window: 10    | time before next req: 0  
08:03:43.832031 | user: luasha_3   | success: true  | req made in window: 14    | time before next req: 0  
08:03:43.832031 | user: luasha_5   | success: true  | req made in window: 6     | time before next req: 0  
08:03:43.833070 | user: luasha_3   | success: true  | req made in window: 14    | time before next req: 0  
08:03:43.833070 | user: luasha_3   | success: true  | req made in window: 15    | time before next req: 0  
08:03:43.833600 | user: luasha_4   | success: true  | req made in window: 10    | time before next req: 0  
08:03:43.834123 | user: luasha_3   | success: true  | req made in window: 14    | time before next req: 0  
08:03:43.834123 | user: luasha_5   | success: true  | req made in window: 7     | time before next req: 0  
08:03:43.834668 | user: luasha_4   | success: true  | req made in window: 11    | time before next req: 0  
08:03:43.835273 | user: luasha_5   | success: true  | req made in window: 8     | time before next req: 0  
