07:33:38.075546 | Sending requests to /nolua
07:33:38.079602 | user: nolua_2    | success: true  | req made in window: 0     | time before next req: 0  
07:33:38.096746 | user: nolua_1    | success: true  | req made in window: 0     | time before next req: 0  
07:33:38.097803 | user: nolua_5    | success: true  | req made in window: 0     | time before next req: 0  
07:33:38.098385 | user: nolua_1    | success: true  | req made in window: 0     | time before next req: 0  
07:33:38.098385 | user: nolua_4    | success: true  | req made in window: 0     | time before next req: 0  
07:33:38.098385 | user: nolua_2    | success: true  | req made in window: 1     | time before next req: 0  
07:33:38.098385 | user: nolua_4    | success: true  | req made in window: 0     | time before next req: 0  
07:33:38.126979 | user: nolua_3    | success: true  | req made in window: 0     | time before next req: 0  
07:33:38.126979 | user: nolua_4    | success: true  | req made in window: 0     | time before next req: 0  
07:33:38.126979 | user: nolua_3    | success: true  | req made in window: 1     | time before next req: 0  
07:33:38.126979 | user: nolua_2    | success: true  | req made in window: 2     | time before next req: 0  
07:33:38.126979 | user: nolua_5    | success: true  | req made in window: 1     | time before next req: 0  
07:33:38.126979 | user: nolua_1    | success: true  | req made in window: 2     | time before next req: 0  
07:33:38.126979 | user: nolua_4    | success: true  | req made in window: 3     | time before next req: 0  
07:33:38.126979 | user: nolua_5    | success: true  | req made in window: 2     | time before next req: 0  
07:33:38.126979 | user: nolua_5    | success: true  | req made in window: 2     | time before next req: 0  
07:33:38.126979 | user: nolua_3    | success: true  | req made in window: 0     | time before next req: 0  
07:33:38.126979 | user: nolua_5    | success: true  | req made in window: 1     | time before next req: 0  
07:33:38.126979 | user: nolua_1    | success: true  | req made in window: 2     | time before next req: 0  
07:33:38.126979 | user: nolua_3    | success: true  | req made in window: 1     | time before next req: 0  
07:33:38.126979 | user: nolua_2    | success: true  | req made in window: 2     | time before next req: 0  
07:33:38.126979 | user: nolua_3    | success: true  | req made in window: 1     | time before next req: 0  
07:33:38.127489 | user: nolua_3    | success: true  | req made in window: 2     | time before next req: 0  
07:33:38.127489 | user: nolua_1    | success: true  | req made in window: 3     | time before next req: 0  
07:33:39.104296 | user: nolua_5    | success: true  | req made in window: 5     | time before next req: 0  
07:33:39.104296 | user: nolua_3    | success: true  | req made in window: 4     | time before next req: 0  
07:33:39.107322 | user: nolua_5    | success: true  | req made in window: 6     | time before next req: 0  
07:33:39.107322 | user: nolua_4    | success: true  | req made in window: 4     | time before next req: 0  
07:33:39.109813 | user: nolua_4    | success: true  | req made in window: 5     | time before next req: 0  
07:33:39.109813 | user: nolua_5    | success: true  | req made in window: 7     | time before next req: 0  
07:33:39.113553 | user: nolua_2    | success: true  | req made in window: 4     | time before next req: 0  
07:33:39.114060 | user: nolua_5    | success: true  | req made in window: 8     | time before next req: 0  
07:33:39.114060 | user: nolua_4    | success: true  | req made in window: 6     | time before next req: 0  
07:33:39.115672 | user: nolua_3    | success: true  | req made in window: 5     | time before next req: 0  
07:33:39.115672 | user: nolua_3    | success: true  | req made in window: 5     | time before next req: 0  
07:33:39.116177 | user: nolua_3    | success: true  | req made in window: 5     | time before next req: 0  
07:33:39.117467 | user: nolua_5    | success: true  | req made in window: 9     | time before next req: 0  
07:33:39.117467 | user: nolua_2    | success: true  | req made in window: 5     | time before next req: 0  
07:33:39.118977 | user: nolua_5    | success: true  | req made in window: 10    | time before next req: 0  
07:33:39.119057 | user: nolua_1    | success: true  | req made in window: 5     | time before next req: 0  
07:33:39.119057 | user: nolua_3    | success: true  | req made in window: 7     | time before next req: 0  
07:33:39.119057 | user: nolua_5    | success: true  | req made in window: 11    | time before next req: 0  
07:33:39.119057 | user: nolua_2    | success: true  | req made in window: 6     | time before next req: 0  
07:33:39.119057 | user: nolua_1    | success: true  | req made in window: 5     | time before next req: 0  
07:33:39.119057 | user: nolua_3    | success: true  | req made in window: 6     | time before next req: 0  
07:33:39.119560 | user: nolua_3    | success: true  | req made in window: 9     | time before next req: 0  
07:33:39.120115 | user: nolua_5    | success: true  | req made in window: 12    | time before next req: 0  
07:33:39.120708 | user: nolua_3    | success: true  | req made in window: 10    | time before next req: 0  
07:33:39.121211 | user: nolua_1    | success: true  | req made in window: 7     | time before next req: 0  
07:33:40.121275 | user: nolua_5    | success: true  | req made in window: 13    | time before next req: 0  
07:33:40.122322 | user: nolua_4    | success: true  | req made in window: 7     | time before next req: 0  
07:33:40.122740 | user: nolua_5    | success: true  | req made in window: 14    | time before next req: 0  
07:33:40.123249 | user: nolua_3    | success: true  | req made in window: 11    | time before next req: 0  
07:33:40.123817 | user: nolua_4    | success: true  | req made in window: 8     | time before next req: 0  
07:33:40.123817 | user: nolua_1    | success: true  | req made in window: 8     | time before next req: 0  
07:33:40.125002 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 7  
07:33:40.125604 | user: nolua_1    | success: true  | req made in window: 9     | time before next req: 0  
07:33:40.126530 | user: nolua_3    | success: true  | req made in window: 12    | time before next req: 0  
07:33:40.127732 | user: nolua_1    | success: true  | req made in window: 10    | time before next req: 0  
07:33:40.127732 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 7  
07:33:40.129383 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 7  
07:33:40.129992 | user: nolua_4    | success: true  | req made in window: 9     | time before next req: 0  
07:33:40.129992 | user: nolua_1    | success: true  | req made in window: 11    | time before next req: 0  
07:33:40.131116 | user: nolua_2    | success: true  | req made in window: 7     | time before next req: 0  
07:33:40.131116 | user: nolua_1    | success: true  | req made in window: 12    | time before next req: 0  
07:33:40.132171 | user: nolua_2    | success: true  | req made in window: 8     | time before next req: 0  
07:33:40.132171 | user: nolua_5    | success: false | req made in window: 15    | time before next req: 7  
07:33:40.132701 | user: nolua_2    | success: true  | req made in window: 8     | time before next req: 0  
